Naziv_instance	n	K	Q	UB	OPT
A-n32-k5	31	5	100	784	yes
A-n33-k5	32	5	100	661	yes
A-n33-k6	32	6	100	742	yes
A-n34-k5	33	5	100	778	yes
A-n36-k5	35	5	100	799	yes
A-n37-k5	36	5	100	669	yes
A-n37-k6	36	6	100	949	yes
A-n38-k5	37	5	100	730	yes
A-n39-k5	38	5	100	822	yes
A-n39-k6	38	6	100	831	yes
A-n44-k6	43	6	100	937	yes
A-n45-k6	44	6	100	944	yes
A-n45-k7	44	7	100	1146	yes
A-n46-k7	45	7	100	914	yes
A-n48-k7	47	7	100	1073	yes
A-n53-k7	52	7	100	1010	yes
A-n54-k7	53	7	100	1167	yes
A-n55-k9	54	9	100	1073	yes
A-n60-k9	59	9	100	1354	yes
A-n61-k9	60	9	100	1034	yes
A-n62-k8	61	8	100	1288	yes
A-n63-k9	62	9	100	1616	yes
A-n63-k10	62	10	100	1314	yes
A-n64-k9	63	9	100	1401	yes
A-n65-k9	64	9	100	1174	yes
A-n69-k9	68	9	100	1159	yes
A-n80-k10	79	10	100	1763	yes
P-n16-k8	15	8	35	450	yes
P-n19-k2	18	2	160	212	yes
P-n20-k2	19	2	160	216	yes
P-n21-k2	20	2	160	211	yes
P-n22-k2	21	2	160	216	yes
P-n22-k8	21	8	3000	603	yes
P-n23-k8	22	8	40	529	yes
P-n40-k5	39	5	140	458	yes
P-n45-k5	44	5	150	510	yes
P-n50-k7	49	7	150	554	yes
P-n50-k8	49	8	120	631	yes
P-n50-k10	49	10	100	696	yes
P-n51-k10	50	10	80	741	yes
P-n55-k7	54	7	170	568	yes
P-n55-k10	54	10	115	694	yes
P-n55-k15	54	15	70	989	yes
P-n60-k10	59	10	120	744	yes
P-n60-k15	59	15	80	968	yes
P-n65-k10	64	10	130	792	yes
P-n70-k10	69	10	135	827	yes
P-n76-k4	75	4	350	593	yes
P-n76-k5	75	5	280	627	yes
P-n101-k4	100	4	400	681	yes
X-n101-k25	100	25	206	27591	yes
X-n106-k14	105	14	600	26362	yes
X-n110-k13	109	13	66	14971	yes
X-n115-k10	114	10	169	12747	yes
X-n120-k6	119	6	21	13332	yes
X-n125-k30	124	30	188	55539	yes
X-n129-k18	128	18	39	28940	yes
X-n134-k13	133	13	643	10916	yes
X-n139-k10	138	10	106	13590	yes
X-n143-k7	142	7	1190	15700	yes
X-n148-k46	147	46	18	43448	yes
X-n153-k22	152	22	144	21220	yes
X-n157-k13	156	13	12	16876	yes
X-n162-k11	161	11	1174	14138	yes
X-n167-k10	166	10	133	20557	yes
X-n172-k51	171	51	161	45607	yes
X-n176-k26	175	26	142	47812	yes
X-n181-k23	180	23	8	25569	yes
X-n186-k15	185	15	974	24145	yes
X-n190-k8	189	8	138	16980	yes
X-n195-k51	194	51	181	44225	yes
X-n200-k36	199	36	402	58578	yes
X-n204-k19	203	19	836	19565	yes
X-n209-k16	208	16	101	30656	yes
X-n214-k11	213	11	944	10856	yes
X-n219-k73	218	73	3	117595	yes
X-n223-k34	222	34	37	40437	yes
X-n228-k23	227	23	154	25742	yes
X-n233-k16	232	16	631	19230	yes
X-n237-k14	236	14	18	27042	yes
X-n242-k48	241	48	28	82751	yes
X-n247-k50	246	47	134	37274	yes
X-n251-k28	250	28	69	38684	yes
X-n256-k16	255	16	1225	18839	yes
X-n261-k13	260	13	1081	26558	yes
X-n266-k58	265	58	35	75478	yes
X-n270-k35	269	35	585	35291	yes
X-n275-k28	274	28	10	21245	yes
X-n280-k17	279	17	192	33503	no
X-n284-k15	283	15	109	20215	yes
X-n289-k60	288	60	267	95151	yes
X-n294-k50	293	50	285	47161	no
X-n298-k31	297	31	55	34231	yes
X-n303-k21	302	21	794	21736	no
X-n308-k13	307	13	246	25859	no
X-n313-k71	312	71	248	94043	no
X-n317-k53	316	53	6	78355	yes
X-n322-k28	321	28	868	29834	yes
X-n327-k20	326	20	128	27532	no
X-n331-k15	330	15	23	31102	yes
X-n336-k84	335	84	203	139111	no
X-n344-k43	343	43	61	42050	no
X-n351-k40	350	40	436	25896	no
X-n359-k29	358	29	68	51505	no
X-n367-k17	366	17	218	22814	no
